Packet,Power Setpoint (kW),Dwell Time (s),mean_value,mean_MovAvgValue,skew_value,skew_MovAvgValue,std_value,std_MovAvgValue,BeadNumber
55,1.8,0,168.25806451612902,168.12387096774194,0.15724901462552845,-0.11750598644550804,12.809079441124265,2.75462965135588,6
55,1.8,15,164.92307692307693,164.99994696969696,-0.2852766170058269,0.42127785395230793,12.568447562283664,4.264463143265497,6
55,1.8,30,165.5875,159.525,0.5236500156941922,-0.3535481137108544,36.58615809682283,14.040846497642908,6
56,1.8,30,175.54623115577888,175.32376884422112,-0.06631963727856617,-2.3124632509276757,15.795254797182391,6.164707765594887,6
56,1.8,60,164.30819672131148,163.1458888888889,0.017264717122494437,-1.9150095181051419,15.784330785961618,8.810763782122237,6
57,1.8,60,164.7171974522293,164.9358280254777,-0.003436848751209681,-0.3478566063383419,11.603498468598282,4.363586498568764,6
57,2.1,0,168.96893203883494,168.99088235294118,-0.4319075180169208,-2.8482404959683416,16.998045038262113,9.720338322380222,6
58,2.1,0,169.67368421052632,169.68469298245614,0.42711128064745074,-0.08528195467939273,14.34995021810969,3.7631810990905077,6
58,2.1,15,163.66301369863012,163.5729195402299,0.06063895982698458,-0.46598951083797086,14.761866126768611,5.175734812188977,6
59,2.1,15,165.63333333333333,165.83923076923077,-0.23056370906883378,-0.23718314515616917,12.995900119399959,3.4792855548270176,6
59,2.1,30,174.90714285714284,174.8818232044199,-0.030513856742327497,0.09913920880662222,15.14296158993629,4.311729930177896,6
60,2.1,30,173.42105263157896,174.93578947368422,-0.34600920561598625,-1.795382153018501,13.086968097965057,5.221411547567898,6
60,2.1,60,171.40694444444446,171.329496124031,-0.09748644312791906,-1.2407691178707532,14.325225690552708,4.39948386143186,6
61,1.5,0,170.84746543778803,170.83881172839506,0.06469695855834573,-0.18965293163472413,13.698459143206787,4.594171878381315,7
61,1.5,15,171.0717391304348,170.9638888888889,0.14868398090712007,-0.44852887120128965,16.317021283766206,4.902117224509042,7
62,1.5,15,175.22146892655368,175.14418079096046,0.09910532676163648,0.1641791678499478,12.754914030321967,4.232457180564362,7
62,1.5,30,176.91627906976743,177.06821568627453,-0.10426849058834713,-2.2356512186789157,20.306352877074275,6.266077299351179,7
63,1.5,30,176.95426356589147,177.19581395348837,0.015868691748369607,0.20782203267793867,15.702234155088895,3.984812906852255,7
63,1.5,60,178.57985074626868,178.7095864661654,-0.056904147101613345,-0.4140541890048522,14.725139772882942,4.515568306413133,7
64,1.5,60,175.00853658536587,175.72487804878048,-0.18993399968281513,-0.9624314552289575,16.582447966088345,5.35061511264916,7
64,1.8,0,162.57734806629836,162.65705555555556,0.09646390246319864,-0.22217208200831254,17.448845413422344,6.2598150817122,7
65,1.8,0,166.2875,166.277875,-0.02820643355506133,0.04182826438665837,15.482135072730003,4.730495432325917,7
65,1.8,15,162.94389140271494,162.9001212121212,-0.3120927982225688,-0.7823845835171016,12.344543191480792,4.782362019917889,7
65,1.8,30,177.95,177.95,,,22.41528496361356,,7
66,1.8,30,176.23962264150944,176.41227987421385,0.06831899377713543,0.6172236377800921,13.210168991569926,4.892971645989878,7
66,1.8,60,163.44313725490196,162.88083333333333,0.03136157630215808,-1.1533707135508982,19.70812274065658,10.433716567530686,7
67,1.8,60,164.55654761904762,164.53815476190476,-0.20997419546251408,-0.02439466651313813,12.374039077823992,4.432960364437272,7
67,2.1,0,168.74105263157895,169.14044326241137,-0.16334763907796998,0.26675134347083496,16.330877259708636,7.124886656439997,7
68,2.1,0,168.6384,168.74026666666666,0.10331928112032088,-0.09542277023823172,12.792851985991398,5.431413632764427,7
68,2.1,15,163.2014492753623,163.2015693430657,0.02421088580288627,-0.12726957507611425,14.163776072389563,6.0344257412288975,7
69,2.1,15,161.36785714285713,161.2597619047619,0.6482028651032787,-0.36892720977142546,14.474524032079591,5.569641025007531,7
69,2.1,30,176.26033519553073,176.20147940074907,-0.12657695162168006,-0.21302653736005367,16.12355182590109,4.680065282072166,7
70,2.1,30,173.51282051282053,174.58076923076922,0.059626873178502925,-0.8544850058603315,19.06202037515242,7.484846844622104,7
70,2.1,60,170.7591743119266,170.71390168970814,-0.03334711991467333,-1.6012395580186327,15.07428711528315,5.295416957197841,7
71,1.5,0,170.86589861751153,170.8103163580247,-0.032077969869934705,0.6030884806523391,13.137183525061806,3.9695147960411448,8
71,1.5,15,171.96666666666667,172.1757575757576,0.27353007099961035,-0.28883744861124244,13.174527764522788,6.096377503352134,8
72,1.5,15,173.76101694915255,173.71966101694915,-0.009439442929057722,0.09658991709010274,13.740327386463942,3.614585022438623,8
72,1.5,30,176.85176470588235,176.77708835341366,-0.15277094411893197,-1.5857880355445495,17.151861010819026,4.761296621493313,8
73,1.5,30,177.46153846153845,177.66457692307694,0.14899864063320684,-1.3824754141657702,14.941438058573857,3.959861501895223,8
73,1.5,60,176.89469696969695,176.75347328244277,0.12847855882213466,-0.3275038183232026,13.764016114569477,3.305247227122407,8
74,1.5,60,173.9325301204819,174.40409638554215,-1.1975578532564763,-3.7140518350610394,13.104394240042996,6.927633510096879,8
74,1.8,0,160.38324022346367,160.2974531835206,-0.10488038586775669,-0.753913444533901,15.805156625570728,6.012593511441504,8
75,1.8,0,163.05227272727274,163.30818181818182,-0.08802316702725195,-0.30780846942479845,15.829902358134623,3.8015940797997865,8
75,1.8,15,162.70321100917434,162.45582949308755,-0.09374749600307197,-2.6002633811519957,14.115894194296677,5.940776181094398,8
76,1.8,15,175.39999999999998,167.82,,,8.909545442950485,2.630437226013966,8
76,1.8,30,174.9393665158371,174.94210606060608,0.047541171515867696,-1.268000278410091,17.903659797436063,5.866795544701713,8
76,1.8,60,165.86410256410255,164.93995495495497,-0.00816914775838914,-2.2893915183331592,17.145775713898423,8.004556114713274,8
77,1.8,60,166.8672131147541,167.15584699453552,-0.0896726987889388,0.10474067239052653,16.06133560857426,4.868412226058324,8
